platform,store,cp_value,price,storage,title,link
PChome,PChome 24h,232.73,22000,512,【Ａ++級福利品】iPhone 15 Pro 512GB 黑色鈦金屬,https://24h.pchome.com.tw/prod/DYAJ2M-A900JNSHT
PChome,PChome 24h,222.71,22990,512,iPhone 15 Pro 512G 藍色 保固6個月 A++福利品,https://24h.pchome.com.tw/prod/DYAJ2M-A900JMZB0
PChome,PChome 24h,222.71,22990,512,iPhone 15 Pro 512G 原色 保固6個月 A++福利品,https://24h.pchome.com.tw/prod/DYAJ2M-A900JMZAX
PChome,PChome 24h,146.37,17490,256,【A+級福利品】iPhone 15 (256G)-粉色,https://24h.pchome.com.tw/prod/DYAJDO-A900JTHOH
PChome,PChome 24h,143.82,17800,256,【福利品】 iPhone 15 Plus 256G,https://24h.pchome.com.tw/prod/DYAJJT-A900HNDQ6
PChome,PChome 24h,134.03,19100,256,【A級福利品】iPhone 15 Pro 256G,https://24h.pchome.com.tw/prod/DYAJDO-A900JIZEX
PChome,PChome 24h,133.33,19200,256,【福利品】Apple iPhone 15 Pro (256GB) 原色鈦金屬,https://24h.pchome.com.tw/prod/DYAJ2M-A900JR9OY
PChome,PChome 24h,133.33,19200,256,【福利品】Apple iPhone 15 Pro (256G)  藍色鈦金屬,https://24h.pchome.com.tw/prod/DYAJ2M-A900JPHYE
PChome,PChome 24h,131.35,19490,256,【A+級福利品】iPhone 15 Plus (256G)-粉色,https://24h.pchome.com.tw/prod/DYAJJT-A900JTHS4
PChome,PChome 24h,131.28,19500,256,【Ａ++級福利品】iPhone 15 Pro 256GB 黑色鈦金屬,https://24h.pchome.com.tw/prod/DYAJ2M-A900JNSRC
PChome,PChome 24h,126.8,20190,256,【A++級福利品】iPhone 15 Pro 256GB 原色鈦金屬(贈三豪禮),https://24h.pchome.com.tw/prod/DYAJ2M-A900JMYY8
PChome,PChome 24h,120.75,21200,256,【福利品】Apple iPhone 15 Pro (256G)  原色鈦金屬,https://24h.pchome.com.tw/prod/DYAJ2M-A900JMNS8
BigGo,Yahoo購物中心,87.97,14550,128,【福利品】Apple iPhone15 128G 6.1吋 智慧型手機 贈保護組+快充組,https://biggo.com.twhttps://tw.buy.yahoo.com/gdsale/福利品-Apple-iPhone15-128G-6-1吋-智慧型手機-贈原廠快充頭-11059219.html
PChome,PChome 24h,75.38,16980,128,【福利品】 iPhone 15 Plus 128G,https://24h.pchome.com.tw/prod/DYAJJT-A900HW60E
PChome,PChome 24h,73.14,17500,128,【Ａ++級福利品】iPhone 15 Plus 128G 綠,https://24h.pchome.com.tw/prod/DYAJJT-A900JWLNN
PChome,PChome 24h,73.14,17500,128,【Ａ++級福利品】iPhone 15 Plus 128G 藍,https://24h.pchome.com.tw/prod/DYAJJT-A900JWLNI
PChome,PChome 24h,73.14,17500,128,【Ａ++級福利品】iPhone 15 Plus 128G 粉,https://24h.pchome.com.tw/prod/DYAJJT-A900JWKZH
PChome,PChome 24h,69.23,18490,128,【A++級福利品】iPhone 15 Pro 128GB 原色鈦金屬 (贈三豪禮),https://24h.pchome.com.tw/prod/DYAJ2M-A900JT9D5
PChome,PChome 24h,69.19,18500,128,【Ａ++級福利品】iPhone 15 Pro 128GB 黑色鈦金屬,https://24h.pchome.com.tw/prod/DYAJ2M-A900JNSRJ
PChome,PChome 24h,68.89,18580,128,iPhone 15 Pro 128G 贈充電殼貼組 保固6個月 福利品,https://24h.pchome.com.tw/prod/DYAJ2M-A900JI0S8
BigGo,PChome 24h購物,67.4,18990,128,Apple 蘋果 【CP認證福利品】iPhone 15 Pro 128GB 白色鈦金屬,https://biggo.com.twhttps://24h.pchome.com.tw/prod/DYAJ2Q-A900JL71I
PChome,PChome 24h,67.37,19000,128,【Ａ++級福利品】iPhone 15 Pro 128GB,https://24h.pchome.com.tw/prod/DYAJ2M-A900JHXJ1
