rank,cp_value,price,storage,title,link,id
1,301.18,8500,256,【福利品】 iPhone 11 Pro Max 256GB,https://24h.pchome.com.tw/prod/DYAJDS-A900J0YDR,DYAJDS-A900J0YDR
2,232.73,11000,256,【福利品】iPhone 14 Pro (256G) 黑_非原廠電池、相機瑕疵,https://24h.pchome.com.tw/prod/DYAJ2S-A900IQVEC,DYAJ2S-A900IQVEC
3,213.37,5999,128,【福利品】Apple iPhone 11(2020新標配版) (128G),https://24h.pchome.com.tw/prod/DYAJDS-A900J5EDM,DYAJDS-A900J5EDM
4,209.84,12200,256,【福利品】Apple iPhone 13 Pro (256G),https://24h.pchome.com.tw/prod/DYAJ21-A900J9G9H,DYAJ21-A900J9G9H
5,189.77,13490,256,【福利品】 iPhone 13 Pro 256GB,https://24h.pchome.com.tw/prod/DYAJ86-A900HL35L,DYAJ86-A900HL35L
6,185.78,6890,128,【福利品】 iPhone 12 128G,https://24h.pchome.com.tw/prod/DYAJKE-A900J0YG5,DYAJKE-A900J0YG5
7,185.51,6900,128,【福利品】 iPhone 12 PRO MAX (128G) 藍_非原螢幕、無臉部辨識功能、相機瑕疵,https://24h.pchome.com.tw/prod/DYAJKE-A900J7XVK,DYAJKE-A900J7XVK
8,182.99,13990,256,【A級福利品】 iPhone 14 Pro (256G),https://24h.pchome.com.tw/prod/DYAJ03-A900I50Q1,DYAJ03-A900I50Q1
9,160.02,7999,128,【福利品】Apple iPhone 12 Pro (128G) 6.1吋,https://24h.pchome.com.tw/prod/DYAX1E-A900J27Z5,DYAX1E-A900J27Z5
10,152.38,8400,128,【福利品】iPhone 13 Pro (128G) 藍_相機瑕疵,https://24h.pchome.com.tw/prod/DYAJ21-A900IJADR,DYAJ21-A900IJADR
11,147.7,8666,128,【福利品】Apple iPhone 13 (128G),https://24h.pchome.com.tw/prod/DYAX17-A900J727L,DYAX17-A900J727L
12,142.38,8990,128,【福利品】 iPhone 12 Pro Max (128G),https://24h.pchome.com.tw/prod/DYAJKE-A900FHJT5,DYAJKE-A900FHJT5
13,137.93,9280,128,【福利品】 iPhone 12 128G 6.1吋 台灣公司貨,https://24h.pchome.com.tw/prod/DYAJKE-A900GKXR7,DYAJKE-A900GKXR7
14,133.47,9590,128,【A級福利品】 iPhone 14 (128G),https://24h.pchome.com.tw/prod/DYAJ03-A900I50IF,DYAJ03-A900I50IF
15,128.26,4990,64,【福利品】iPhone 12 mini (64G),https://24h.pchome.com.tw/prod/DYAJKE-A900FHJGM,DYAJKE-A900FHJGM
16,120.98,10580,128,【福利品】 iPhone 12 128G 6.1吋 全機9成新 台灣公司貨,https://24h.pchome.com.tw/prod/DYAJKE-A900FVZ88,DYAJKE-A900FVZ88
17,114.49,5590,64,【福利品】 iPhone 12 (64G),https://24h.pchome.com.tw/prod/DYAJKE-A900FHJR3,DYAJKE-A900FHJR3
18,102.48,12490,128,【A級福利品】 iPhone 14 Pro (128G),https://24h.pchome.com.tw/prod/DYAJ03-A900I50PC,DYAJ03-A900I50PC
19,97.04,13190,128,【福利品】 iPhone 12 Pro 128G 6.1吋 全機9成新 台灣公司貨,https://24h.pchome.com.tw/prod/DYAJKE-A900FS772,DYAJKE-A900FS772
20,77.11,8300,64,【福利品】Apple iPhone 11 Pro Max (64G),https://24h.pchome.com.tw/prod/DYAJDS-A900J9FTY,DYAJDS-A900J9FTY
